ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth (m),Area (Km2),Estimated coordinates,Reference,ANP,Protection Level,Validation,Estimated Area,Area Loss,Loss Index,Pollution ,Coastal Modification,Biological Resource Use,Climate Change ,Minning,Threath index ,Read List Category,Regin_1,Region, ,Municip,Categor,Zonifcc,Subznfc,nombr_1,Psc_Cmr,Psc_Dpr,Pesca,Buceo
84,Ruppia maritima,1991,April,Ortiz-Calderon,Bahia de los Angeles,28.58,-113.12,DD,DD,No,MEXU,"Zona marina Bahia de los Angeles, Canales de Ballenas y de Salsipuedes",1,No,,,,1,0,1,,0,,,Peninsula de Baja California y Pacifico Norte,Bahia de los Angeles,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Este de la Isla Angel de la Guarda - Bahï¿½a San Rafael B,SI,SI,Permitida,Permitido
85,Ruppia maritima,2000,February,Felger,Bahia El Sargento,29.32,-112.35,DD,DD,Yes,ARIZ,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
86,Zostera marina,2000,March-April,Torre-Cosio,Bahia El Sargento,29.32,-112.31,DD,DD,Yes,Inventario y monitoreo del Canal del Infiernillo para el co-manejo de los recursos marinos en el territorio Seri. Golfo de California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
87,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Bahia El Sargento,29.32,-112.35,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
88,Ruppia maritima,2009,DD,Meling-Lopez,Bahia Lobos,27.38,-110.5,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Complejo Lagunar Bahía Guásimas – Estero Lobos,0,Yes,,,,1,1,1,,0,,,,Bahia Lobos,Sonora ,,,,,,,,,
89,Ruppia maritima,2009,DD,Meling-Lopez,Bahia Lobos,27.42,-110.53,DD,DD,No,Com.Pers.,Sitio Ramsar Humedales de la laguna de La Cruz,1,Yes,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
90,Zostera marina,2007,DD,Orduna-Rojas y Riosmena-Rodriguez,Bahia Navachiste - Isla El Metate,25.48,-108.88,DD,DD,No,Inventario de la macrofauna marina de interes economico de las islas del norte de Sinaloa. Mexico,Sitio Ramsar Sistema Lagunar San Ignacio-Navachiste-Macapule,1,No,,,,1,1,1,,0,,,,Navachiste,Sinaloa ,,,,,,,,,
91,Zostera marina,1949,March,Dawson,Bahia San Carlos,27.97,-111.12,DD,DD,Yes,SI NMNH,Sitio Ramsar Estero El Soldado,1,Yes,,,,1,1,1,,0,,,,Estero el Soldado,Sonora,,,,,,,,,
92,Zostera marina,1970,DD,Den Hartog,Bahia San Carlos,27.94,-111.06,DD,DD,Yes,The seagrasses of the world,Sitio Ramsar Estero El Soldado,1,No,,,,1,1,1,,0,,,,Estero el Soldado,Sonora,,,,,,,,,
93,Zostera marina,1970,DD,Den Hartog,Bahia San Carlos,27.95,-111.06,DD,DD,No,The seagrasses of the world,Sitio Ramsar Estero El Soldado,1,DD,,,,1,1,1,,0,,,,Estero el Soldado,Sonora,,,,,,,,,
94,Zostera marina,1973,March,Brown,Bahia San Carlos,27.98,-111.12,DD,DD,No,ASU_Plants,Sitio Ramsar Estero El Soldado,1,DD,,,,1,1,1,,0,,,,Estero el Soldado,Sonora,,,,,,,,,
95,Zostera marina,1976,DD,Felger y Lowe,Bahia San Carlos,27.94,-111.06,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Estero El Soldado,1,No,,,,1,1,1,,0,,,,Estero el Soldado,Sonora,,,,,,,,,
96,Ruppia maritima,1976,DD,Felger y Lowe,Bahia San Carlos,27.97,-111.12,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Estero El Soldado,1,Yes,,,,1,1,1,,0,,,,Estero el Soldado,Sonora,,,,,,,,,
97,Zostera marina,1977,DD,Sheridan y Felger,Bahia San Carlos,27.97,-111.12,DD,DD,Yes,Indian utilization of Eelgrass (Zostera marina L.) in Northewestern Mexico: The Spanish Colonial Record,Sitio Ramsar Estero El Soldado,1,Yes,,,,1,1,1,,0,,,,Estero el Soldado,Sonora,,,,,,,,,
98,Zostera marina,1980,March,Lehto,Bahia San Carlos,27.95,-111.06,DD,DD,Yes,MEXU,Sitio Ramsar Estero El Soldado,1,DD,,,,1,1,1,,0,,,,Estero el Soldado,Sonora,,,,,,,,,
99,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Zona marina del Archipielago de Espiritu Santo,2,DD,,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,Isla Espiritu Santo,Baja California Sur,Frente a las costas de La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Bahia San Gabriel,NO,NO,Prohibida,Permitido
100,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Zona marina del Archipielago de Espiritu Santo,2,DD,,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,Isla Espiritu Santo,Baja California Sur,Frente a las costas de La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Bahia San Gabriel,NO,NO,Prohibida,Permitido
101,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Zona marina del Archipielago de Espiritu Santo,2,DD,,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,Isla Espiritu Santo,Baja California Sur,Frente a las costas de La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Bahia San Gabriel,NO,NO,Prohibida,Permitido
102,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia San Gabriel,24.43,-110.36,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Zona marina del Archipielago de Espiritu Santo,2,DD,,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,Isla Espiritu Santo,Baja California Sur,Frente a las costas de La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Bahia San Gabriel,NO,NO,Prohibida,Permitido
103,Halodule wrightii,1999,June,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo,Sonora ,,,,,,,,,
104,Zostera marina,1999,June,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo,Sonora ,,,,,,,,,
105,Halodule wrightii,1970-1980,June-November,Felger et al.,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo,Sonora ,,,,,,,,,
106,Ruppia maritima,1970-1981,June-November, ,Bahia San Miguel,28.97,-112.2,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo,Sonora ,,,,,,,,,
107,Zostera marina,1992,September,Felger,Bahia Santa Maria,25.01,-108.2,DD,DD,No,ASU_Plants,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,No,,,,1,1,1,,0,,,,Bahia Santa Maria,Sinaloa,,,,,,,,,
108,Zostera marina,2006,DD,Ulloa et al.,Bahia Santa Maria,25.09,-108.13,DD,DD,Yes,Planeacion ecorregional para la conservacion marina: Golfo de California y costa occidental de Baja California Sur,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,No,,,,1,1,1,,0,,,,Bahia Santa Maria,Sinaloa,,,,,,,,,
109,Zostera marina,2000-2002,March-June,Riosmena-Rodriguez et al.,Bahia Santa Maria,25.01,-108.2,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,No,,,,1,1,1,,0,,,,Bahia Santa Maria,Sinaloa,,,,,,,,,
110,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Bahia Santa Maria,25.09,-108.09,DD,DD,Yes,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,Yes,,,,1,1,1,,0,,,,Bahia Santa Maria,Sinaloa,,,,,,,,,
111,Zostera marina,2000-2002,March-June,Talbots et al.,Bahia Santa Maria,25.09,-108.31,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,Yes,,,,1,1,1,,0,,,,Bahia Santa Maria,Sinaloa,,,,,,,,,
112,Zostera marina,2000-2002,November-May,Muniz-Salazar et al.,Bahia Santa Maria,25.09,-108.13,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Laguna Playa Colorada-Santa María La Reforma,1,No,,,,1,1,1,,0,,,,Bahia Santa Maria,Sinaloa,,,,,,,,,
113,Zostera marina,2009,June,Lopez-Calderon et al.,Bajo Callero,29.15,-112.18,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo,Sonora ,,,,,,,,,
114,Zostera marina,2010,May,Lopez-Calderon et al.,Bajo Callero,29.15,-112.18,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
115,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Balandra,2,No,0,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,La Paz,Baja California Sur,La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Balandra B,NO,NO,Prohibida,Permitido
116,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Balandra,2,No,0,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,La Paz,Baja California Sur,La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Balandra B,NO,NO,Prohibida,Permitido
117,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Balandra,2,No,0,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,La Paz,Baja California Sur,La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Balandra B,NO,NO,Prohibida,Permitido
118,Ruppia maritima,2009,May,Lopez-Calderon et al.,Balandra,24.32,-110.33,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Balandra,2,No,0,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,La Paz,Baja California Sur,La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Balandra B,NO,NO,Prohibida,Permitido
119,Ruppia maritima,2014,DD,CONANP,Balandra,24.32,-110.33,DD,DD,Yes,Fichas de evaluacion ecologica de areas naturales protegidas del Noroeste de Mexico. Area de proteccion de flora y fauna Balandra,Balandra,2,No,0,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,La Paz,Baja California Sur,La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Balandra B,NO,NO,Prohibida,Permitido
120,Ruppia maritima,2014,DD,CONANP,Balandra,24.32,-110.33,DD,DD,Yes,Fichas de evaluacion ecologica de areas naturales protegidas del Noroeste de Mexico. Area de proteccion de flora y fauna Balandra,Balandra,2,No,0,,,0,0,0,,0,,,Peninsula de Baja California y Pacifico Norte,La Paz,Baja California Sur,La Paz,Zona Nucleo,Uso Restringido,Uso Restringido,Balandra B,NO,NO,Prohibida,Permitido
121,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Cabo San Lucas,22.9,-109.89,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Cabo San Lucas,0,No,DD,DD,,1,1,1,,0,,,Peninsula de Baja California y Pacifico Norte,Los Cabos,Baja California Sur,,Zona de Amortiguamiento,,,,,,Sin manejo,Sin manejo
122,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Cabo San Lucas,22.9,-109.89,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Cabo San Lucas,0,No,DD,DD,,1,1,1,,0,,,Peninsula de Baja California y Pacifico Norte,Los Cabos,Baja California Sur,,Zona de Amortiguamiento,,,,,,Sin manejo,Sin manejo
123,Zostera marina,1968,March,Moser,Campo Almond,29.11,-112.18,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
124,Ruppia maritima,1977,March,Felger et al.,Campo Viboras,29.09,-112.22,DD,DD,Yes,MEXU,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo,Sonora ,,,,,,,,,
125,Zostera marina,2000,September,Seminoff et al.,Campo Viboras,29.09,-112.22,DD,DD,No,"First diet evidence of migration by an east pacific green seaturtle from Michoacan, Mexico to a feeding ground on the sonoran coast of the Gulf of California",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo,Sonora ,,,,,,,,,
126,Zostera marina,1944,DD,Dawson,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,The marine algae of the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
127,Zostera marina,1973,April,Felger et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,No,Eelgras (Zostera marina) in the Gulf of California: Discovery of its nutritional value by the Seri Indians,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
128,Ruppia maritima,1973,June,Felger,Canal del Infiernillo,29.04,-112.21,DD,DD,No,ARIZ,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
129,Zostera marina,1974,April,Phillips et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,Reproductive strategies of Eelgrass (Zostera marina L.),Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
130,Zostera marina,1980,DD,Sheridan y Felger,Canal del Infiernillo,29.13,-112.22,DD,DD,No,Indian Utilization of Eelgrass (Zostera marina L.) in Northwestern Mexico: The SpanishColonial Record,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
131,Zostera marina,2000,March-April,Torre-Cosio,Canal del Infiernillo,29.01,-112.16,DD,DD,Yes,Inventario y monitoreo del Canal del Infiernillo para el co-manejo de los recursos marinos en el territorio Seri. Golfo de California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
132,Zostera marina,2002,DD,Felger et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
133,Zostera marina,2004,DD,Brusca et al.,Canal del Infiernillo,29.04,-112.22,DD,DD,No,A seashore guide to the northern Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
134,Zostera marina,2004,DD,Brusca et al.,Canal del Infiernillo,29.042,-112.207,DD,DD,Yes,The Gulf of California: Biodiversity and Conservation,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
135,Zostera marina,2004,DD,Felger,Canal del Infiernillo,29.11,-112.18,DD,DD,No,Plant life of a desert archipelago: Flora of the Sonora Islands in the Gulf of California.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
136,Zostera marina,2009,January-May,Riosmena-Rodriguez et al.,Canal del Infiernillo,29.042,-112.207,DD,DD,No,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
137,Ruppia maritima,2009,March,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
138,Ruppia maritima,2009,October,Lopez-Calderon et al.,Canal del Infiernillo,29,-112.16,DD,DD,No,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
139,Ruppia maritima,2009,October,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
140,Ruppia maritima,2010,April,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
141,Ruppia maritima,2010,March,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.19,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
142,Ruppia maritima,2010,March,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
143,Ruppia maritima,2010,October,Lopez-Calderon et al.,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
144,Zostera marina,2013,January-February,Riosmena-Rodriguez et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
145,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Canal del Infiernillo,29.32,-112.35,3,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
146,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Canal del Infiernillo,29.042,-112.207,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
147,Zostera marina,1999-2001,DD,Torre-Cosio & Bourillon-Moreno,Canal del Infiernillo,29.042,-112.207,DD,DD,Yes,"Impacts of the swimming crab (Callinectes bellicosus) fishery in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
148,Zostera marina,1999-2001,October-June,Bourillon-Moreno,Canal del Infiernillo,29.11,-112.18,DD,DD,Yes,"Exclusive fishing zone as a strategy for managing fishery resources by the Seri Indians, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
149,Ruppia maritima,1999-2001,October-June,Bourillon-Moreno,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,"Exclusive fishing zone as a strategy for managing fishery resources by the Seri Indians, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
150,Halodule wrightii,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,"Marine inventory and selection of monitoring species in the Seri Indian Territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
151,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.13,-112.22,DD,DD,Yes,"Marine inventory and selection of monitoring species in the Seri Indian Territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
152,Ruppia maritima,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.17,-112.27,DD,DD,Yes,"Marine inventory and selection of monitoring species in the Seri Indian Territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
153,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Canal del Infiernillo,29.01,-112.16,DD,DD,Yes,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
154,Zostera marina,2000-2002,March-June,Talbots et al.,Canal del Infiernillo,29.01,-112.16,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
155,Zostera marina,2000-2002,November-May,Muniz-Salazar et al.,Canal del Infiernillo,29.17,-112.27,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
156,Ruppia maritima,1992,March,Edwards et al.,Cienega de Santa Clara,31.72,-114.65,DD,DD,Yes,"Cienega de Santa Clara: endangered wetland in the Colorado river delta, Sonora, Mexico",Alto Golfo de California y Delta del Rï¿½o Colorado,2,DD,,,,0,0,0,,0,,,Noroeste y Alto Golfo de California,Cienega de Santa Clara,Baja California y Sonora,Baja California.: Mexicali; Sonora: Puerto Penasco y San Luis Rio Colorado,Zona Nucleo,Zona Nucleo,Zona Nucleo,Nucleo,NO,NO,Prohibida,Prohibido
157,Ruppia maritima,1992,March,Edwards et al.,Cienega de Santa Clara,31.72,-114.65,DD,DD,Yes,"Cienega de Santa Clara: endangered wetland in the Colorado river delta, Sonora, Mexico",Alto Golfo de California y Delta del Rï¿½o Colorado,2,DD,,,,0,0,0,,0,,,Noroeste y Alto Golfo de California,Cienega de Santa Clara,Baja California y Sonora,Baja California.: Mexicali; Sonora: Puerto Penasco y San Luis Rio Colorado,Zona Nucleo,Zona Nucleo,Zona Nucleo,Nucleo,NO,NO,Prohibida,Prohibido
158,Ruppia maritima,1993,April,Ortiz-Reina,Cienega de Santa Clara,31.86,-114.62,DD,DD,Yes,MEXU,Alto Golfo de California y Delta del Rï¿½o Colorado,2,DD,,,,0,0,0,,0,,,Noroeste y Alto Golfo de California,Cienega de Santa Clara,Baja California y Sonora,Baja California.: Mexicali; Sonora: Puerto Penasco y San Luis Rio Colorado,Zona Nucleo,Zona Nucleo,Zona Nucleo,Nucleo,NO,NO,Prohibida,Prohibido
